id, title, releaseYear
1078,Twentieth Century,1934
1079,Kid Millions,1934
1080,Of Human Bondage,1934
1081,Manhattan Melodrama,1934
1082,Mutiny on the Bounty,1935
1083,The Bride of Frankenstein,1935
1084,A Night at the Opera,1935
1085,Gold Diggers of 1935,1935
1086,Symphony In Black: A Rhapsody of Negro Life,1935
1087,The Little Colonel,1935
1088,The Devil is a Woman,1935
1089,Dangerous,1935
1090,The 39 Steps,1935
1091,Triumph of the Will,1935
1092,San Francisco,1936
1093,Swing Time,1936
1094,My Man Godfrey,1936
1095,Show Boat,1936
1096,The Petrified Forest,1936
1097,Snow White and the Seven Dwarfs,1937
1098,The Awful Truth,1937
1099,Bringing Up Baby,1938
1100,Love Finds Andy Hardy,1938
1101,The Women,1939
1102,The Wizard of Oz,1939
1103,Stagecoach,1939
1104,Mr. Smith Goes to Washington,1939
1105,Love Affair,1939
1106,Ninotchka,1939
1107,Of Mice and Men,1939
1108,Only Angels Have Wings,1939
1109,"Goodbye, Mr. Chips",1939
1110,Gunga Din,1939
1111,Wuthering Heights,1939
1112,Young Mr. Lincoln,1939
1113,Gone With the Wind,1939
1114,The Philadelphia Story,1940
1115,His Girl Friday,1940
1116,Rebecca,1940
1117,The Great Dictator,1940
1118,The Grapes of Wrath,1940
1119,The Wolf Man,1941
1120,Sullivan's Travels,1941
1121,The Lady Eve,1941
1122,Suspicion,1941
1123,Citizen Kane,1941
1124,The Maltese Falcon,1941
1125,Casablanca,1942
1126,Wake Island,1942
1127,The Battle of Midway,1942
1128,The Miracle of Morgan's Creek,1943
1129,Bataan,1943
1130,Air Force,1943
1131,Double Indemnity,1944
1132,Laura,1944
1133,Meet Me in St. Louis,1944
1134,The Battle of San Pietro,1945
1135,They Were Expendable,1945
1136,Notorious,1946
1137,The Best Years of Our Lives,1946
1138,It's a Wonderful Life,1946
1139,The Killers,1946
1140,The Big Sleep,1946
1141,My Darling Clementine,1946
1142,Out of the Past,1947
1143,Rope,1948
1144,Fort Apache,1948
1145,The Third Man,1949
